date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:16	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/checkout	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/checkout.673.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:16	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a?preview_theme_id=78417002560	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.674a5a5.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:16	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.675.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:17	5148/5148	---MC-	200	added ('OK')	application/json+oembed	date:Mon,%2028%20Dec%202020%2012:27:18%20GMT	https://sabujcha-demo.myshopify.com/products/dummy-product-name-1.oembed	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/products/dummy-product-name-1.oembed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:17	22764/22764	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:17%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_b1109720-4afb-4d41-a433-9075551107b4_grande.jpg?v=1543644369	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_b1109720-4afb-4d41-a433-9075551107b4_grandeb2a1.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:21	51434/51434	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:19%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_b1109720-4afb-4d41-a433-9075551107b4_1024x1024.jpg?v=1543644369	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_b1109720-4afb-4d41-a433-9075551107b4_1024x1024b2a1.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:21	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/checkout	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/checkout.67a.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:21	787/787	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2028%20Dec%202020%2012:27:23%20GMT	http://pinterest.com/pin/create/button/?url=https://sabujcha-demo.myshopify.com/products/dummy-product-name-1&media=http://cdn.shopify.com/s/files/1/0053/5665/0560/products/product-detalis-bl2_b1109720-4afb-4d41-a433-9075551107b4_1024x1024.jpg?v=1543644369&description=Dummy%20product%20name	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/pinterest.com/pin/create/button/indexb814.html	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:21	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a?preview_theme_id=78417002560	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.67ba5a5.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:21	0/-1	---M--	302	error ('')			https://sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/sabujcha-demo.myshopify.com/5356650560/checkouts/5c4896b784ce71256bd65b0edb5dc33a.67c.delayed	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:26	45167/45167	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:21%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/3_c9a7c2da-5688-400f-9cdf-867c2256856e_1024x1024.jpg?v=1543644369	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/3_c9a7c2da-5688-400f-9cdf-867c2256856e_1024x1024b2a1.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:27	24455/24455	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:24%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/2_3d295a73-06ab-41ce-9e0a-aee268d42626_grande.jpg?v=1543645574	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/2_3d295a73-06ab-41ce-9e0a-aee268d42626_grandeb148.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name)
17:57:29	79256/79256	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:20%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/1_425b5b48-f2ca-46f8-80ad-3837122aff2b_1024x1024.jpg?v=1543644369	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/1_425b5b48-f2ca-46f8-80ad-3837122aff2b_1024x1024b2a1.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name-1)
17:57:32	32822/32822	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Dec%202020%2012:27:29%20GMT	http://cdn.shopify.com/s/files/1/0053/5665/0560/products/1_e9b7822c-b5a9-42b3-b04c-c90015ac06e1_grande.jpg?v=1543645574	C:/Users/Kdanb/OneDrive/Desktop/bnbHerbs/cdn.shopify.com/s/files/1/0053/5665/0560/products/1_e9b7822c-b5a9-42b3-b04c-c90015ac06e1_grandeb148.jpg	(from https://sabujcha-demo.myshopify.com/products/dummy-product-name)
